날짜,요일,월,분기,카테고리,제품명,판매수량,단가,할인율,판매가격,매출액,원가,이익,마케팅_캠페인
2023-01-01,일,1,1,과일,사과,43,2095,0,2095.0,90085.0,52213.04486466701,37871.95513533299,없음
2023-01-01,일,1,1,과일,바나나,41,2482,0,2482.0,101762.0,67147.94508390469,34614.05491609531,없음
2023-01-01,일,1,1,과일,오렌지,49,4380,0,4380.0,214620.0,148296.61574130214,66323.38425869786,없음
2023-01-01,일,1,1,과일,딸기,35,3324,0,3324.0,116340.0,68087.33964902656,48252.66035097344,없음
2023-01-01,일,1,1,과일,포도,26,1474,0,1474.0,38324.0,22364.195101202138,15959.804898797862,없음
2023-01-01,일,1,1,과일,수박,51,4005,0,4005.0,204255.0,129814.834798299,74440.165201701,시즌 특별전
2023-01-01,일,1,1,과일,멜론,16,3888,0,3888.0,62208.0,26097.21884892848,36110.78115107152,포인트 적립
2023-01-01,일,1,1,채소,양파,29,2541,0,2541.0,73689.0,36209.605210984955,37479.394789015045,1+1 이벤트
2023-01-01,일,1,1,채소,감자,13,1978,0,1978.0,25714.0,14991.236217466692,10722.763782533308,없음
2023-01-01,일,1,1,채소,당근,25,2455,0,2455.0,61375.0,27905.4219663977,33469.5780336023,없음
2023-01-01,일,1,1,채소,토마토,17,1629,0,1629.0,27693.0,15793.597553495707,11899.402446504293,없음
2023-01-01,일,1,1,채소,오이,82,661,0,661.0,54202.0,28106.179927531106,26095.820072468894,시즌 특별전
2023-01-01,일,1,1,채소,상추,68,955,0,955.0,64940.0,37089.389509365996,27850.610490634004,없음
2023-01-01,일,1,1,채소,시금치,98,1378,22,1074.8400000000001,105334.32,46586.97522277309,58747.344777226914,할인 프로모션
2023-01-01,일,1,1,육류,소고기,25,7568,0,7568.0,189200.0,119512.61310527827,69687.38689472173,없음
2023-01-01,일,1,1,육류,돼지고기,24,11736,0,11736.0,281664.0,172773.42593369872,108890.57406630128,없음
2023-01-01,일,1,1,육류,닭고기,47,15470,0,15470.0,727090.0,432853.4783416627,294236.5216583373,없음
2023-01-01,일,1,1,육류,양고기,60,8104,0,8104.0,486240.0,203767.38367292285,282472.61632707715,포인트 적립
2023-01-01,일,1,1,육류,오리고기,44,7731,0,7731.0,340164.0,201127.8299058224,139036.1700941776,없음
2023-01-01,일,1,1,해산물,연어,57,11110,0,11110.0,633270.0,388810.9579214118,244459.04207858822,없음
2023-01-01,일,1,1,해산물,참치,15,12062,0,12062.0,180930.0,74566.69480655652,106363.30519344348,없음
2023-01-01,일,1,1,해산물,새우,32,4484,0,4484.0,143488.0,66078.4854714104,77409.5145285896,없음
2023-01-01,일,1,1,해산물,오징어,64,9019,0,9019.0,577216.0,388044.9669441171,189171.0330558829,없음
2023-01-01,일,1,1,해산물,조개,54,7636,0,7636.0,412344.0,193240.66522544326,219103.33477455674,없음
2023-01-01,일,1,1,해산물,게,74,8915,0,8915.0,659710.0,447883.2514680756,211826.7485319244,없음
2023-01-01,일,1,1,유제품,우유,17,2863,0,2863.0,48671.0,32500.921704651708,16170.078295348292,없음
