product,input,intent
크리스마스 리스,연말연시 머스트해브 아이템,계절|크리스마스
블랙 힐,여성용 블랙 포멀 힐 한 켤레,신발|정장
칵테일 글라스,주방에 꼭 필요한 아이템,가정용품|주방
멋진 세라믹 볼,어떤 상황에도 잘 어울리는 멋진 세라믹 그릇,가정용품|그릇
힙 샌들,이 남성용 힙한 샌들은 여름에 딱 맞습니다.,신발|샌들
접이식 가죽 케이스가 달린 15 피스 메이크업 브러쉬 세트,메이크업 브러쉬의 훌륭한 셀렉션. 들고 다니는 것만으로도 멋집니다!,뷰티|그루밍
발렌타인 데코레이션,특별한 날을 위한 머스트해브 아이템,계절별|발렌타인
금속 바구니,이 금속 바구니는 모두를 기쁘게 할 것입니다.,가정 장식 | 장식
뛰어난 낚시 릴,모든 낚싯대를 위한 뛰어난 낚시 릴,야외|낚시
브라운 가죽 신발,남성용 갈색 가죽 정장 신발 한 켤레,신발|정장
골든로드 암체어,모든 방에 어울리는 모디쉬 골든로드 암체어,가구|의자
클래식 세라믹 볼,이 클래식한 세라믹 그릇은 필수품입니다,가정용품|그릇
정교한 알루미늄 보울,모든 상황에 적합한 정교한 알루미늄 보울,가정용품|그릇
세라믹 꽃병,이 세라믹 꽃병은 홈 데코를 위한 머스트해브 아이템입니다.,가정 장식 | 장식
포켓 파우더 케이스,"이동 중에도 손질하세요!언제, 어디서든!",뷰티|그루밍
패셔너블 안경,여성용 세련된 안경,액세서리|안경
그레이 플레이트,모든 주방에서 타의 추종을 불허합니다,가정용품|주방
화이트 탑,여성용 스피피 화이트 탑,의류|셔츠
다크 그레이 소파,이 고급스러운 짙은 회색 소파는 모든 객실의 하이라이트가 될 것입니다.,가구|소파
페루-오렌지 핸드백,이 페루 오렌지색의 멋진 핸드백은 흠 잡을 데가 없습니다,액세서리|핸드백
라이트 그레이 세트 쿠션,이 라이트 그레이 세트 쿠션은 매우 편안합니다,홈 데코 | 쿠션
발렌타인 캔디,특별한 날을 위한 머스트해브 아이템,계절별|발렌타인
호화로운 도자기 그릇,어떤 상황에도 어울리는 호화로운 세라믹 그릇,가정용품|그릇
미드나잇 블루 재킷,여성용 따뜻한 캐주얼 재킷,의류|재킷
행잉 램프,이 벽걸이 램프는 집 조명에 꼭 필요한 제품입니다.,홈 데코 | 조명
게인즈버러 액센트 테이블,방을 돋보이게 해줄 패셔너블한 게인즈버러 액센트 테이블,가구|테이블
