date,shipment_id,origin_port,destination_port,route_type,lead_time_days,transport_cost_usd,cargo_type,volume_containers
2024-08-01,SH001,Shanghai,Newark,Direct,7,1950,Lithium_Carbonate,2
2024-08-01,SH002,Shanghai,Norfolk,Direct,6,1880,Battery_Components,1
2024-08-02,SH003,Ningbo,Savannah,Direct,8,2100,Cathode_Materials,3
2024-08-02,SH004,Shanghai,Charleston,Direct,7,1920,Separator_Films,2
2024-08-03,SH005,Qingdao,Newark,Direct,6,1850,Lithium_Hydroxide,1
2024-08-03,SH006,Shanghai,Baltimore,Direct,8,2050,Electrolyte,2
2024-08-04,SH007,Ningbo,Norfolk,Direct,7,1980,Battery_Components,1
2024-08-04,SH008,Shanghai,Houston,Direct,9,2200,Cathode_Materials,4
2024-08-05,SH009,Qingdao,Savannah,Direct,7,1900,Lithium_Carbonate,2
2024-08-05,SH010,Shanghai,Newark,Direct,6,1820,Separator_Films,1
2024-08-06,SH011,Ningbo,Charleston,Direct,8,2080,Battery_Components,3
2024-08-06,SH012,Shanghai,Norfolk,Direct,7,1940,Lithium_Hydroxide,2
2024-08-07,SH013,Qingdao,Baltimore,Direct,6,1860,Electrolyte,1
2024-08-07,SH014,Shanghai,Savannah,Direct,8,2020,Cathode_Materials,2
2024-08-08,SH015,Ningbo,Newark,Direct,7,1970,Lithium_Carbonate,2
2024-08-08,SH016,Shanghai,Houston,Direct,9,2150,Battery_Components,3
2024-08-09,SH017,Qingdao,Norfolk,Direct,6,1890,Separator_Films,1
2024-08-09,SH018,Shanghai,Charleston,Direct,7,1950,Lithium_Hydroxide,2
2024-08-10,SH019,Ningbo,Baltimore,Direct,8,2090,Electrolyte,2
2024-08-10,SH020,Shanghai,Savannah,Direct,7,1930,Cathode_Materials,1
2024-08-11,SH021,Qingdao,Newark,Direct,6,1870,Lithium_Carbonate,2
2024-08-11,SH022,Shanghai,Norfolk,Direct,8,2040,Battery_Components,3
2024-08-12,SH023,Ningbo,Houston,Direct,9,2180,Separator_Films,2
2024-08-12,SH024,Shanghai,Charleston,Direct,7,1960,Lithium_Hydroxide,1
2024-08-13,SH025,Qingdao,Baltimore,Direct,6,1880,Electrolyte,2
2024-08-13,SH026,Shanghai,Savannah,Direct,8,2010,Cathode_Materials,2
2024-08-14,SH027,Ningbo,Newark,Direct,7,1990,Lithium_Carbonate,1
2024-08-14,SH028,Shanghai,Norfolk,Direct,6,1840,Battery_Components,2
2024-08-15,SH029,Qingdao,Houston,Direct,9,2220,Separator_Films,3
2024-08-15,SH030,Shanghai,Charleston,Direct,7,1940,Lithium_Hydroxide,2
2024-08-16,SH031,Ningbo,Baltimore,Direct,8,2070,Electrolyte,1
