date,material_type,location,quantity_units,safety_stock_days,current_days_supply,reorder_triggered
2024-08-01,Lithium_Carbonate,US_East,2800,15,21,FALSE
2024-08-01,Battery_Components,US_East,1200,12,18,FALSE
2024-08-01,Cathode_Materials,US_East,950,10,16,FALSE
2024-08-01,Separator_Films,US_East,800,8,14,FALSE
2024-08-01,Lithium_Hydroxide,US_East,600,15,20,FALSE
2024-08-01,Electrolyte,US_East,1100,10,15,FALSE
2024-08-02,Lithium_Carbonate,US_East,2750,15,20,FALSE
2024-08-02,Battery_Components,US_East,1180,12,17,FALSE
2024-08-02,Cathode_Materials,US_East,920,10,15,FALSE
2024-08-02,Separator_Films,US_East,780,8,13,FALSE
2024-08-02,Lithium_Hydroxide,US_East,590,15,19,FALSE
2024-08-02,Electrolyte,US_East,1080,10,14,FALSE
2024-08-03,Lithium_Carbonate,US_East,2700,15,19,FALSE
2024-08-03,Battery_Components,US_East,1160,12,16,FALSE
2024-08-03,Cathode_Materials,US_East,890,10,14,FALSE
2024-08-03,Separator_Films,US_East,760,8,12,FALSE
2024-08-03,Lithium_Hydroxide,US_East,580,15,18,FALSE
2024-08-03,Electrolyte,US_East,1060,10,13,FALSE
2024-08-04,Lithium_Carbonate,US_East,2650,15,18,FALSE
2024-08-04,Battery_Components,US_East,1140,12,15,FALSE
2024-08-04,Cathode_Materials,US_East,860,10,13,FALSE
2024-08-04,Separator_Films,US_East,740,8,11,FALSE
2024-08-04,Lithium_Hydroxide,US_East,570,15,17,FALSE
2024-08-04,Electrolyte,US_East,1040,10,12,FALSE
2024-08-05,Lithium_Carbonate,US_East,2600,15,17,FALSE
2024-08-05,Battery_Components,US_East,1120,12,14,FALSE
2024-08-05,Cathode_Materials,US_East,830,10,12,FALSE
2024-08-05,Separator_Films,US_East,720,8,10,FALSE
2024-08-05,Lithium_Hydroxide,US_East,560,15,16,FALSE
2024-08-05,Electrolyte,US_East,1020,10,11,FALSE
2024-08-06,Lithium_Carbonate,US_East,2550,15,16,FALSE
2024-08-06,Battery_Components,US_East,1100,12,13,FALSE
2024-08-06,Cathode_Materials,US_East,800,10,11,FALSE
2024-08-06,Separator_Films,US_East,700,8,9,FALSE
2024-08-06,Lithium_Hydroxide,US_East,550,15,15,TRUE
2024-08-06,Electrolyte,US_East,1000,10,10,TRUE
2024-08-07,Lithium_Carbonate,US_East,2500,15,15,TRUE
2024-08-07,Battery_Components,US_East,1080,12,12,TRUE
2024-08-07,Cathode_Materials,US_East,770,10,10,TRUE
2024-08-07,Separator_Films,US_East,680,8,8,TRUE
2024-08-07,Lithium_Hydroxide,US_East,540,15,14,FALSE
2024-08-07,Electrolyte,US_East,980,10,9,FALSE
2024-08-08,Lithium_Carbonate,US_East,2450,15,14,FALSE
2024-08-08,Battery_Components,US_East,1060,12,11,FALSE
2024-08-08,Cathode_Materials,US_East,740,10,9,FALSE
2024-08-08,Separator_Films,US_East,660,8,7,FALSE
2024-08-08,Lithium_Hydroxide,US_East,530,15,13,FALSE
2024-08-08,Electrolyte,US_East,960,10,8,FALSE
2024-08-09,Lithium_Carbonate,US_East,2400,15,13,FALSE
2024-08-09,Battery_Components,US_East,1040,12,10,FALSE
2024-08-09,Cathode_Materials,US_East,710,10,8,FALSE
2024-08-09,Separator_Films,US_East,640,8,6,FALSE
2024-08-09,Lithium_Hydroxide,US_East,520,15,12,FALSE
2024-08-09,Electrolyte,US_East,940,10,7,FALSE
2024-08-10,Lithium_Carbonate,US_East,2350,15,12,FALSE
2024-08-10,Battery_Components,US_East,1020,12,9,FALSE
2024-08-10,Cathode_Materials,US_East,680,10,7,FALSE
2024-08-10,Separator_Films,US_East,620,8,5,FALSE
2024-08-10,Lithium_Hydroxide,US_East,510,15,11,FALSE
2024-08-10,Electrolyte,US_East,920,10,6,FALSE
2024-08-11,Lithium_Carbonate,US_East,2300,15,11,FALSE
2024-08-11,Battery_Components,US_East,1000,12,8,FALSE
2024-08-11,Cathode_Materials,US_East,650,10,6,FALSE
2024-08-11,Separator_Films,US_East,600,8,4,FALSE
2024-08-11,Lithium_Hydroxide,US_East,500,15,10,FALSE
2024-08-11,Electrolyte,US_East,900,10,5,FALSE
2024-08-12,Lithium_Carbonate,US_East,2250,15,10,FALSE
2024-08-12,Battery_Components,US_East,980,12,7,FALSE
2024-08-12,Cathode_Materials,US_East,620,10,5,FALSE
2024-08-12,Separator_Films,US_East,580,8,3,FALSE
2024-08-12,Lithium_Hydroxide,US_East,490,15,9,FALSE
2024-08-12,Electrolyte,US_East,880,10,4,FALSE
2024-08-13,Lithium_Carbonate,US_East,2400,15,16,FALSE
2024-08-13,Battery_Components,US_East,1150,12,14,FALSE
2024-08-13,Cathode_Materials,US_East,750,10,11,FALSE
2024-08-13,Separator_Films,US_East,680,8,9,FALSE
2024-08-13,Lithium_Hydroxide,US_East,580,15,15,FALSE
2024-08-13,Electrolyte,US_East,1020,10,11,FALSE
2024-08-14,Lithium_Carbonate,US_East,2350,15,15,FALSE
2024-08-14,Battery_Components,US_East,1130,12,13,FALSE
2024-08-14,Cathode_Materials,US_East,720,10,10,FALSE
2024-08-14,Separator_Films,US_East,660,8,8,TRUE
2024-08-14,Lithium_Hydroxide,US_East,570,15,14,FALSE
2024-08-14,Electrolyte,US_East,1000,10,10,TRUE
2024-08-15,Lithium_Carbonate,US_East,2300,15,14,FALSE
2024-08-15,Battery_Components,US_East,1110,12,12,TRUE
2024-08-15,Cathode_Materials,US_East,690,10,9,FALSE
2024-08-15,Separator_Films,US_East,640,8,7,FALSE
2024-08-15,Lithium_Hydroxide,US_East,560,15,13,FALSE
2024-08-15,Electrolyte,US_East,980,10,9,FALSE
2024-08-16,Lithium_Carbonate,US_East,2250,15,13,FALSE
2024-08-16,Battery_Components,US_East,1090,12,11,FALSE
2024-08-16,Cathode_Materials,US_East,660,10,8,FALSE
2024-08-16,Separator_Films,US_East,620,8,6,FALSE
2024-08-16,Lithium_Hydroxide,US_East,550,15,12,FALSE
2024-08-16,Electrolyte,US_East,960,10,8,FALSE
2024-08-17,Lithium_Carbonate,US_East,2200,15,12,FALSE
2024-08-17,Battery_Components,US_East,1070,12,10,FALSE
2024-08-17,Cathode_Materials,US_East,630,10,7,FALSE
2024-08-17,Separator_Films,US_East,600,8,5,FALSE
2024-08-17,Lithium_Hydroxide,US_East,540,15,11,FALSE
2024-08-17,Electrolyte,US_East,940,10,7,FALSE
2024-08-18,Lithium_Carbonate,US_East,2150,15,11,FALSE
2024-08-18,Battery_Components,US_East,1050,12,9,FALSE
2024-08-18,Cathode_Materials,US_East,600,10,6,FALSE
2024-08-18,Separator_Films,US_East,580,8,4,FALSE
2024-08-18,Lithium_Hydroxide,US_East,530,15,10,FALSE
2024-08-18,Electrolyte,US_East,920,10,6,FALSE
2024-08-19,Lithium_Carbonate,US_East,2100,15,10,FALSE
2024-08-19,Battery_Components,US_East,1030,12,8,FALSE
2024-08-19,Cathode_Materials,US_East,570,10,5,FALSE
2024-08-19,Separator_Films,US_East,560,8,3,FALSE
2024-08-19,Lithium_Hydroxide,US_East,520,15,9,FALSE
2024-08-19,Electrolyte,US_East,900,10,5,FALSE
2024-08-20,Lithium_Carbonate,US_East,2050,15,9,FALSE
2024-08-20,Battery_Components,US_East,1010,12,7,FALSE
2024-08-20,Cathode_Materials,US_East,540,10,4,FALSE
2024-08-20,Separator_Films,US_East,540,8,2,FALSE
2024-08-20,Lithium_Hydroxide,US_East,510,15,8,FALSE
2024-08-20,Electrolyte,US_East,880,10,4,FALSE
2024-08-21,Lithium_Carbonate,US_East,2200,15,14,FALSE
2024-08-21,Battery_Components,US_East,1120,12,13,FALSE
2024-08-21,Cathode_Materials,US_East,650,10,9,FALSE
2024-08-21,Separator_Films,US_East,620,8,7,FALSE
2024-08-21,Lithium_Hydroxide,US_East,570,15,13,FALSE
2024-08-21,Electrolyte,US_East,990,10,9,FALSE
2024-08-22,Lithium_Carbonate,US_East,2150,15,13,FALSE
2024-08-22,Battery_Components,US_East,1100,12,12,TRUE
2024-08-22,Cathode_Materials,US_East,620,10,8,FALSE
2024-08-22,Separator_Films,US_East,600,8,6,FALSE
2024-08-22,Lithium_Hydroxide,US_East,560,15,12,FALSE
2024-08-22,Electrolyte,US_East,970,10,8,FALSE
2024-08-23,Lithium_Carbonate,US_East,2100,15,12,FALSE
2024-08-23,Battery_Components,US_East,1080,12,11,FALSE
2024-08-23,Cathode_Materials,US_East,590,10,7,FALSE
2024-08-23,Separator_Films,US_East,580,8,5,FALSE
2024-08-23,Lithium_Hydroxide,US_East,550,15,11,FALSE
2024-08-23,Electrolyte,US_East,950,10,7,FALSE
2024-08-24,Lithium_Carbonate,US_East,2050,15,11,FALSE
2024-08-24,Battery_Components,US_East,1060,12,10,FALSE
2024-08-24,Cathode_Materials,US_East,560,10,6,FALSE
2024-08-24,Separator_Films,US_East,560,8,4,FALSE
2024-08-24,Lithium_Hydroxide,US_East,540,15,10,FALSE
2024-08-24,Electrolyte,US_East,930,10,6,FALSE
2024-08-25,Lithium_Carbonate,US_East,2000,15,10,FALSE
2024-08-25,Battery_Components,US_East,1040,12,9,FALSE
2024-08-25,Cathode_Materials,US_East,530,10,5,FALSE
2024-08-25,Separator_Films,US_East,540,8,3,FALSE
2024-08-25,Lithium_Hydroxide,US_East,530,15,9,FALSE
2024-08-25,Electrolyte,US_East,910,10,5,FALSE
2024-08-26,Lithium_Carbonate,US_East,1950,15,9,FALSE
2024-08-26,Battery_Components,US_East,1020,12,8,FALSE
2024-08-26,Cathode_Materials,US_East,500,10,4,FALSE
2024-08-26,Separator_Films,US_East,520,8,2,FALSE
2024-08-26,Lithium_Hydroxide,US_East,520,15,8,FALSE
2024-08-26,Electrolyte,US_East,890,10,4,FALSE
2024-08-27,Lithium_Carbonate,US_East,2100,15,13,FALSE
2024-08-27,Battery_Components,US_East,1130,12,12,TRUE
2024-08-27,Cathode_Materials,US_East,610,10,8,FALSE
2024-08-27,Separator_Films,US_East,600,8,6,FALSE
2024-08-27,Lithium_Hydroxide,US_East,580,15,12,FALSE
2024-08-27,Electrolyte,US_East,980,10,8,FALSE
2024-08-28,Lithium_Carbonate,US_East,2050,15,12,FALSE
2024-08-28,Battery_Components,US_East,1110,12,11,FALSE
2024-08-28,Cathode_Materials,US_East,580,10,7,FALSE
2024-08-28,Separator_Films,US_East,580,8,5,FALSE
2024-08-28,Lithium_Hydroxide,US_East,570,15,11,FALSE
2024-08-28,Electrolyte,US_East,960,10,7,FALSE
2024-08-29,Lithium_Carbonate,US_East,2000,15,11,FALSE
2024-08-29,Battery_Components,US_East,1090,12,10,FALSE
2024-08-29,Cathode_Materials,US_East,550,10,6,FALSE
2024-08-29,Separator_Films,US_East,560,8,4,FALSE
2024-08-29,Lithium_Hydroxide,US_East,560,15,10,FALSE
2024-08-29,Electrolyte,US_East,940,10,6,FALSE
2024-08-30,Lithium_Carbonate,US_East,1950,15,10,FALSE
2024-08-30,Battery_Components,US_East,1070,12,9,FALSE
2024-08-30,Cathode_Materials,US_East,520,10,5,FALSE
2024-08-30,Separator_Films,US_East,540,8,3,FALSE
2024-08-30,Lithium_Hydroxide,US_East,550,15,9,FALSE
2024-08-30,Electrolyte,US_East,920,10,5,FALSE
2024-08-31,Lithium_Carbonate,US_East,1900,15,9,FALSE
2024-08-31,Battery_Components,US_East,1050,12,8,FALSE
2024-08-31,Cathode_Materials,US_East,490,10,4,FALSE
2024-08-31,Separator_Films,US_East,520,8,2,FALSE
2024-08-31,Lithium_Hydroxide,US_East,540,15,8,FALSE
2024-08-31,Electrolyte,US_East,900,10,4,FALSE
2024-09-01,Lithium_Carbonate,US_East,2050,15,12,FALSE
2024-09-01,Battery_Components,US_East,1160,12,11,FALSE
2024-09-01,Cathode_Materials,US_East,600,10,7,FALSE
2024-09-01,Separator_Films,US_East,600,8,5,FALSE
2024-09-01,Lithium_Hydroxide,US_East,600,15,11,FALSE
2024-09-01,Electrolyte,US_East,990,10,7,FALSE
2024-09-02,Lithium_Carbonate,US_East,2000,15,11,FALSE
2024-09-02,Battery_Components,US_East,1140,12,10,FALSE
2024-09-02,Cathode_Materials,US_East,570,10,6,FALSE
2024-09-02,Separator_Films,US_East,580,8,4,FALSE
2024-09-02,Lithium_Hydroxide,US_East,590,15,10,FALSE
2024-09-02,Electrolyte,US_East,970,10,6,FALSE
2024-09-03,Lithium_Carbonate,US_East,1950,15,10,FALSE
2024-09-03,Battery_Components,US_East,1120,12,9,FALSE
2024-09-03,Cathode_Materials,US_East,540,10,5,FALSE
2024-09-03,Separator_Films,US_East,560,8,3,FALSE
2024-09-03,Lithium_Hydroxide,US_East,580,15,9,FALSE
2024-09-03,Electrolyte,US_East,950,10,5,FALSE
2024-09-04,Lithium_Carbonate,US_East,1900,15,9,FALSE
2024-09-04,Battery_Components,US_East,1100,12,8,FALSE
2024-09-04,Cathode_Materials,US_East,510,10,4,FALSE
2024-09-04,Separator_Films,US_East,540,8,2,FALSE
2024-09-04,Lithium_Hydroxide,US_East,570,15,8,FALSE
2024-09-04,Electrolyte,US_East,930,10,4,FALSE
2024-09-05,Lithium_Carbonate,US_East,1850,15,8,FALSE
2024-09-05,Battery_Components,US_East,1080,12,7,FALSE
2024-09-05,Cathode_Materials,US_East,480,10,3,FALSE
2024-09-05,Separator_Films,US_East,520,8,1,FALSE
2024-09-05,Lithium_Hydroxide,US_East,560,15,7,FALSE
2024-09-05,Electrolyte,US_East,910,10,3,FALSE
2024-09-06,Lithium_Carbonate,US_East,2000,15,11,FALSE
2024-09-06,Battery_Components,US_East,1190,12,10,FALSE
2024-09-06,Cathode_Materials,US_East,590,10,6,FALSE
2024-09-06,Separator_Films,US_East,600,8,4,FALSE
2024-09-06,Lithium_Hydroxide,US_East,620,15,10,FALSE
2024-09-06,Electrolyte,US_East,1000,10,6,FALSE
2024-09-07,Lithium_Carbonate,US_East,1950,15,10,FALSE
2024-09-07,Battery_Components,US_East,1170,12,9,FALSE
2024-09-07,Cathode_Materials,US_East,560,10,5,FALSE
2024-09-07,Separator_Films,US_East,580,8,3,FALSE
2024-09-07,Lithium_Hydroxide,US_East,610,15,9,FALSE
2024-09-07,Electrolyte,US_East,980,10,5,FALSE
2024-09-08,Lithium_Carbonate,US_East,1900,15,9,FALSE
2024-09-08,Battery_Components,US_East,1150,12,8,FALSE
2024-09-08,Cathode_Materials,US_East,530,10,4,FALSE
2024-09-08,Separator_Films,US_East,560,8,2,FALSE
2024-09-08,Lithium_Hydroxide,US_East,600,15,8,FALSE
2024-09-08,Electrolyte,US_East,960,10,4,FALSE
2024-09-09,Lithium_Carbonate,US_East,1850,15,8,FALSE
2024-09-09,Battery_Components,US_East,1130,12,7,FALSE
2024-09-09,Cathode_Materials,US_East,500,10,3,FALSE
2024-09-09,Separator_Films,US_East,540,8,1,FALSE
2024-09-09,Lithium_Hydroxide,US_East,590,15,7,FALSE
2024-09-09,Electrolyte,US_East,940,10,3,FALSE
2024-09-10,Lithium_Carbonate,US_East,1800,15,7,FALSE
2024-09-10,Battery_Components,US_East,1110,12,6,FALSE
2024-09-10,Cathode_Materials,US_East,470,10,2,FALSE
2024-09-10,Separator_Films,US_East,520,8,0,FALSE
