date,shipment_id,material_origin,processing_location,fta_compliant,china_content_ratio,compliance_status
2024-08-01,SH001,Chile,China,FALSE,0.85,Non_Compliant
2024-08-01,SH002,Australia,Canada,TRUE,0.12,Compliant
2024-08-02,SH003,China,China,FALSE,0.95,Non_Compliant
2024-08-02,SH004,Chile,China,FALSE,0.78,Non_Compliant
2024-08-03,SH005,Australia,Canada,TRUE,0.15,Compliant
2024-08-03,SH006,China,China,FALSE,0.92,Non_Compliant
2024-08-04,SH007,Chile,China,FALSE,0.82,Non_Compliant
2024-08-04,SH008,China,China,FALSE,0.88,Non_Compliant
2024-08-05,SH009,Chile,Canada,TRUE,0.25,Compliant
2024-08-05,SH010,Australia,Canada,TRUE,0.18,Compliant
2024-08-06,SH011,China,China,FALSE,0.91,Non_Compliant
2024-08-06,SH012,Chile,China,FALSE,0.76,Non_Compliant
2024-08-07,SH013,Australia,Canada,TRUE,0.14,Compliant
2024-08-07,SH014,China,China,FALSE,0.89,Non_Compliant
2024-08-08,SH015,Chile,China,FALSE,0.80,Non_Compliant
2024-08-08,SH016,China,China,FALSE,0.93,Non_Compliant
2024-08-09,SH017,Australia,Canada,TRUE,0.16,Compliant
2024-08-09,SH018,Chile,Canada,TRUE,0.22,Compliant
2024-08-10,SH019,China,China,FALSE,0.87,Non_Compliant
2024-08-10,SH020,Chile,China,FALSE,0.79,Non_Compliant
2024-08-11,SH021,Australia,Canada,TRUE,0.13,Compliant
2024-08-11,SH022,China,China,FALSE,0.94,Non_Compliant
2024-08-12,SH023,Chile,China,FALSE,0.83,Non_Compliant
2024-08-12,SH024,Australia,Canada,TRUE,0.17,Compliant
2024-08-13,SH025,Chile,Canada,TRUE,0.24,Compliant
2024-08-13,SH026,China,China,FALSE,0.90,Non_Compliant
2024-08-14,SH027,Chile,China,FALSE,0.81,Non_Compliant
2024-08-14,SH028,Australia,Canada,TRUE,0.19,Compliant
2024-08-15,SH029,China,China,FALSE,0.86,Non_Compliant
2024-08-15,SH030,Chile,Canada,TRUE,0.26,Compliant
2024-08-16,SH031,China,China,FALSE,0.88,Non_Compliant
2024-08-16,SH032,Chile,China,FALSE,0.77,Non_Compliant
2024-08-17,SH033,Australia,Canada,TRUE,0.11,Compliant
2024-08-17,SH034,China,China,FALSE,0.92,Non_Compliant
2024-08-18,SH035,Chile,China,FALSE,0.84,Non_Compliant
2024-08-18,SH036,Australia,Canada,TRUE,0.20,Compliant
2024-08-19,SH037,Chile,Canada,TRUE,0.23,Compliant
2024-08-19,SH038,China,China,FALSE,0.89,Non_Compliant
2024-08-20,SH039,Chile,China,FALSE,0.78,Non_Compliant
