index,Date,Status,Fulfilment,ship-service-level,Style,SKU,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code,promotion-ids,Gender,Age Group
1,1/1/24,Shipped,Amazon,Expedited,유기농 바나나,FR-BNN-001,과일,500g,Delivered,2,5990,강남구,서울,6000,FRUITPROMO5,F,30대
2,1/1/24,Shipped,Amazon,Standard,국산 방울토마토,VG-TOM-002,채소,200g,Delivered,1,3500,송파구,서울,5500,,M,40대
3,1/1/24,Shipped,Amazon,Expedited,순두부,DP-TFU-001,유제품,300g,Delivered,3,3000,분당구,경기도,13500,FRESH10OFF,F,50대
4,1/1/24,Shipped,Coupang,Expedited,아보카도,FR-AVC-001,과일,3개입,In Transit,1,6700,부천시,경기도,14700,FRUITPROMO5,M,30대
5,1/1/24,Shipped,Amazon,Standard,유기농 당근,VG-CRT-001,채소,500g,Delivered,2,4200,일산동구,경기도,10300,VEGGIESALE,F,50대
6,1/1/24,Shipped,Market Kurly,Expedited,유기농 시금치,VG-SPN-001,채소,300g,Delivered,3,4900,수원시,경기도,16400,VEGGIESALE,M,40대
7,1/1/24,Shipped,SSG.com,Standard,신선 우유,DP-MLK-001,유제품,1L,Delivered,1,2900,용산구,서울,4000,DAIRYPROMO,F,30대
8,1/2/24,Shipped,Amazon,Priority,태국 망고,FR-MNG-001,과일,2개입,Delivered,2,7200,성동구,서울,4800,SUMMERFRUIT,M,50대
9,1/2/24,Shipped,Coupang,Standard,브로콜리,VG-BRC-001,채소,300g,Delivered,1,3900,마포구,서울,4100,,F,40대
10,1/2/24,Shipped,Market Kurly,Expedited,그릭 요거트,DP-YGT-001,유제품,500g,In Transit,3,7800,중구,서울,4500,DAIRYPROMO,M,30대
11,1/2/24,Shipped,SSG.com,Standard,골드 키위,FR-KWI-001,과일,6개입,Delivered,1,8900,종로구,서울,3000,FRUITPROMO5,F,20대
12,1/2/24,Shipped,Amazon,Expedited,유기농 오이,VG-CCB-001,채소,3개입,Delivered,2,4800,은평구,서울,3400,VEGGIESALE,M,40대
13,1/2/24,Shipped,Coupang,Standard,체다 치즈,DP-CHS-001,유제품,200g,Delivered,1,7900,동대문구,서울,2500,DAIRYPROMO,F,30대
14,1/3/24,Shipped,Market Kurly,Expedited,딸기,FR-STB-001,과일,400g,Delivered,3,12900,서대문구,서울,3600,SUMMERFRUIT,M,50대
15,1/3/24,Shipped,SSG.com,Standard,양배추,VG-CBG-001,채소,1통,Delivered,1,3900,강북구,서울,1000,,F,60대
16,1/3/24,Shipped,Amazon,Priority,무가당 요구르트,DP-YGT-002,유제품,4개입,In Transit,2,6900,도봉구,서울,1300,DAIRYPROMO,M,30대
17,1/3/24,Shipped,Coupang,Standard,파인애플,FR-PNP-001,과일,1개,Delivered,1,6900,노원구,서울,1300,FRUITPROMO5,F,40대
18,1/3/24,Shipped,Market Kurly,Expedited,청경채,VG-BCH-001,채소,300g,Delivered,3,4900,중랑구,서울,2100,VEGGIESALE,M,50대
19,1/3/24,Shipped,SSG.com,Standard,저지방 우유,DP-MLK-002,유제품,1L,Delivered,1,3500,구로구,서울,8200,DAIRYPROMO,F,30대
20,1/3/24,Shipped,Amazon,Expedited,블루베리,FR-BBR-001,과일,200g,Delivered,2,9800,금천구,서울,8500,SUMMERFRUIT,M,40대
21,1/4/24,Shipped,Coupang,Standard,방울토마토,VG-TOM-003,채소,300g,In Transit,1,4800,동작구,서울,7200,VEGGIESALE,F,30대
22,1/4/24,Shipped,Market Kurly,Priority,모짜렐라 치즈,DP-CHS-002,유제품,250g,Delivered,3,8500,관악구,서울,8700,DAIRYPROMO,M,20대
23,1/4/24,Shipped,SSG.com,Standard,사과,FR-APL-001,과일,1kg,Delivered,1,6500,광진구,서울,5000,FRUITPROMO5,F,50대
24,1/4/24,Shipped,Amazon,Expedited,고구마,VG-SWP-001,채소,1kg,Delivered,2,5800,성북구,서울,2800,VEGGIESALE,M,30대
25,1/4/24,Shipped,Coupang,Standard,연유,DP-CDM-001,유제품,300g,Delivered,1,4500,강동구,서울,5900,DAIRYPROMO,F,40대
26,1/4/24,Shipped,Market Kurly,Expedited,복숭아,FR-PCH-001,과일,5개입,In Transit,3,11700,분당구,경기도,13500,FRUITPROMO5,M,60대
27,1/4/24,Shipped,SSG.com,Standard,샐러드 채소,VG-SLD-001,채소,300g,Delivered,1,4700,일산동구,경기도,10300,VEGGIESALE,F,30대
28,1/5/24,Shipped,Amazon,Priority,플레인 요거트,DP-YGT-003,유제품,400g,Delivered,2,5500,수원시,경기도,16400,DAIRYPROMO,M,40대
29,1/5/24,Shipped,Coupang,Standard,수박,FR-WML-001,과일,1통,Delivered,1,12900,용산구,서울,4000,SUMMERFRUIT,F,30대
30,1/5/24,Shipped,Market Kurly,Expedited,양파,VG-ONI-001,채소,1kg,Delivered,3,3500,성동구,서울,4800,VEGGIESALE,M,50대
31,1/5/24,Shipped,SSG.com,Standard,유기농 바나나,FR-BNN-002,과일,500g,Delivered,1,5990,마포구,서울,4100,FRUITPROMO5,F,40대
32,1/5/24,Shipped,Amazon,Expedited,국산 방울토마토,VG-TOM-004,채소,200g,Delivered,2,3500,중구,서울,4500,,M,30대
33,1/6/24,Shipped,Coupang,Standard,순두부,DP-TFU-002,유제품,300g,In Transit,1,3000,종로구,서울,3000,FRESH10OFF,F,20대
34,1/6/24,Shipped,Market Kurly,Priority,아보카도,FR-AVC-002,과일,3개입,Delivered,3,6700,은평구,서울,3400,FRUITPROMO5,M,40대
35,1/6/24,Shipped,SSG.com,Standard,유기농 당근,VG-CRT-002,채소,500g,Delivered,1,4200,동대문구,서울,2500,VEGGIESALE,F,30대
36,1/6/24,Shipped,Amazon,Expedited,유기농 시금치,VG-SPN-002,채소,300g,Delivered,2,4900,서대문구,서울,3600,VEGGIESALE,M,50대
37,1/6/24,Shipped,Coupang,Standard,신선 우유,DP-MLK-003,유제품,1L,Delivered,1,2900,강북구,서울,1000,DAIRYPROMO,F,60대
38,1/7/24,Shipped,Market Kurly,Expedited,태국 망고,FR-MNG-002,과일,2개입,In Transit,3,7200,도봉구,서울,1300,SUMMERFRUIT,M,30대
39,1/7/24,Shipped,SSG.com,Standard,브로콜리,VG-BRC-002,채소,300g,Delivered,1,3900,노원구,서울,1300,,F,40대
40,1/7/24,Shipped,Amazon,Priority,그릭 요거트,DP-YGT-004,유제품,500g,Delivered,2,7800,중랑구,서울,2100,DAIRYPROMO,M,50대
41,1/7/24,Shipped,Coupang,Standard,골드 키위,FR-KWI-002,과일,6개입,Delivered,1,8900,구로구,서울,8200,FRUITPROMO5,F,30대
42,1/7/24,Shipped,Market Kurly,Expedited,유기농 오이,VG-CCB-002,채소,3개입,Delivered,3,4800,금천구,서울,8500,VEGGIESALE,M,40대
43,1/8/24,Shipped,SSG.com,Standard,체다 치즈,DP-CHS-003,유제품,200g,In Transit,1,7900,동작구,서울,7200,DAIRYPROMO,F,20대
44,1/8/24,Shipped,Amazon,Expedited,딸기,FR-STB-002,과일,400g,Delivered,2,12900,관악구,서울,8700,SUMMERFRUIT,M,50대
45,1/8/24,Shipped,Coupang,Standard,양배추,VG-CBG-002,채소,1통,Delivered,1,3900,광진구,서울,5000,,F,30대
46,1/8/24,Shipped,Market Kurly,Priority,무가당 요구르트,DP-YGT-005,유제품,4개입,Delivered,3,6900,성북구,서울,2800,DAIRYPROMO,M,40대
47,1/8/24,Shipped,SSG.com,Standard,파인애플,FR-PNP-002,과일,1개,Delivered,1,6900,강동구,서울,5900,FRUITPROMO5,F,50대
48,1/9/24,Shipped,Amazon,Expedited,청경채,VG-BCH-002,채소,300g,In Transit,2,4900,분당구,경기도,13500,VEGGIESALE,M,30대
49,1/9/24,Shipped,Coupang,Standard,저지방 우유,DP-MLK-004,유제품,1L,Delivered,1,3500,일산동구,경기도,10300,DAIRYPROMO,F,60대
50,1/9/24,Shipped,Market Kurly,Expedited,블루베리,FR-BBR-002,과일,200g,Delivered,3,9800,수원시,경기도,16400,SUMMERFRUIT,M,30대
51,1/9/24,Shipped,SSG.com,Standard,방울토마토,VG-TOM-005,채소,300g,Delivered,1,4800,용산구,서울,4000,VEGGIESALE,F,40대
52,1/9/24,Shipped,Amazon,Priority,모짜렐라 치즈,DP-CHS-004,유제품,250g,Delivered,2,8500,성동구,서울,4800,DAIRYPROMO,M,50대
53,1/10/24,Shipped,Coupang,Standard,사과,FR-APL-002,과일,1kg,In Transit,1,6500,마포구,서울,4100,FRUITPROMO5,F,30대
54,1/10/24,Shipped,Market Kurly,Expedited,고구마,VG-SWP-002,채소,1kg,Delivered,3,5800,중구,서울,4500,VEGGIESALE,M,40대
55,1/10/24,Shipped,SSG.com,Standard,연유,DP-CDM-002,유제품,300g,Delivered,1,4500,종로구,서울,3000,DAIRYPROMO,F,20대
56,1/10/24,Shipped,Amazon,Expedited,복숭아,FR-PCH-002,과일,5개입,Delivered,2,11700,은평구,서울,3400,FRUITPROMO5,M,50대
57,1/10/24,Shipped,Coupang,Standard,샐러드 채소,VG-SLD-002,채소,300g,Delivered,1,4700,동대문구,서울,2500,VEGGIESALE,F,30대
58,1/11/24,Shipped,Market Kurly,Priority,플레인 요거트,DP-YGT-006,유제품,400g,In Transit,3,5500,서대문구,서울,3600,DAIRYPROMO,M,40대
59,1/11/24,Shipped,SSG.com,Standard,수박,FR-WML-002,과일,1통,Delivered,1,12900,강북구,서울,1000,SUMMERFRUIT,F,50대
60,1/11/24,Shipped,Amazon,Expedited,양파,VG-ONI-002,채소,1kg,Delivered,2,3500,도봉구,서울,1300,VEGGIESALE,M,30대
61,1/11/24,Shipped,Coupang,Standard,유기농 바나나,FR-BNN-003,과일,500g,Delivered,1,5990,노원구,서울,1300,FRUITPROMO5,F,60대
62,1/11/24,Shipped,Market Kurly,Expedited,국산 방울토마토,VG-TOM-006,채소,200g,Delivered,3,3500,중랑구,서울,2100,,M,30대
63,1/12/24,Shipped,SSG.com,Standard,순두부,DP-TFU-003,유제품,300g,In Transit,1,3000,구로구,서울,8200,FRESH10OFF,F,40대
64,1/12/24,Shipped,Amazon,Priority,아보카도,FR-AVC-003,과일,3개입,Delivered,2,6700,금천구,서울,8500,FRUITPROMO5,M,50대
65,1/12/24,Shipped,Coupang,Standard,유기농 당근,VG-CRT-003,채소,500g,Delivered,1,4200,동작구,서울,7200,VEGGIESALE,F,30대
66,1/12/24,Shipped,Market Kurly,Expedited,유기농 시금치,VG-SPN-003,채소,300g,Delivered,3,4900,관악구,서울,8700,VEGGIESALE,M,40대
67,1/12/24,Shipped,SSG.com,Standard,신선 우유,DP-MLK-005,유제품,1L,Delivered,1,2900,광진구,서울,5000,DAIRYPROMO,F,20대
68,1/13/24,Shipped,Amazon,Expedited,태국 망고,FR-MNG-003,과일,2개입,In Transit,2,7200,성북구,서울,2800,SUMMERFRUIT,M,50대
69,1/13/24,Shipped,Coupang,Standard,브로콜리,VG-BRC-003,채소,300g,Delivered,1,3900,강동구,서울,5900,,F,30대
70,1/13/24,Shipped,Market Kurly,Priority,그릭 요거트,DP-YGT-007,유제품,500g,Delivered,3,7800,분당구,경기도,13500,DAIRYPROMO,M,40대
