date,customer_id,order_id,requested_delivery,actual_delivery,status,order_value_usd,penalty_applied
2024-08-01,CUST_TESLA,ORD_T001,2024-08-15,2024-08-15,Fulfilled,850000,FALSE
2024-08-01,CUST_GM,ORD_G001,2024-08-16,2024-08-16,Fulfilled,420000,FALSE
2024-08-02,CUST_FORD,ORD_F001,2024-08-17,2024-08-17,Fulfilled,320000,FALSE
2024-08-02,CUST_HYUNDAI,ORD_H001,2024-08-18,2024-08-18,Fulfilled,280000,FALSE
2024-08-03,CUST_TESLA,ORD_T002,2024-08-19,2024-08-19,Fulfilled,920000,FALSE
2024-08-03,CUST_BMW,ORD_B001,2024-08-20,2024-08-20,Fulfilled,380000,FALSE
2024-08-04,CUST_VW,ORD_V001,2024-08-21,2024-08-21,Fulfilled,450000,FALSE
2024-08-04,CUST_GM,ORD_G002,2024-08-22,2024-08-22,Fulfilled,520000,FALSE
2024-08-05,CUST_FORD,ORD_F002,2024-08-23,2024-08-23,Fulfilled,340000,FALSE
2024-08-05,CUST_TESLA,ORD_T003,2024-08-24,2024-08-24,Fulfilled,780000,FALSE
2024-08-06,CUST_HYUNDAI,ORD_H002,2024-08-25,2024-08-25,Fulfilled,290000,FALSE
2024-08-06,CUST_BMW,ORD_B002,2024-08-26,2024-08-26,Fulfilled,410000,FALSE
2024-08-07,CUST_VW,ORD_V002,2024-08-27,2024-08-27,Fulfilled,480000,FALSE
2024-08-07,CUST_GM,ORD_G003,2024-08-28,2024-08-28,Fulfilled,550000,FALSE
2024-08-08,CUST_FORD,ORD_F003,2024-08-29,2024-08-29,Fulfilled,360000,FALSE
2024-08-08,CUST_TESLA,ORD_T004,2024-08-30,2024-08-30,Fulfilled,890000,FALSE
2024-08-09,CUST_HYUNDAI,ORD_H003,2024-08-31,2024-08-31,Fulfilled,310000,FALSE
2024-08-09,CUST_BMW,ORD_B003,2024-09-01,2024-09-01,Fulfilled,420000,FALSE
2024-08-10,CUST_VW,ORD_V003,2024-09-02,2024-09-02,Fulfilled,470000,FALSE
2024-08-10,CUST_GM,ORD_G004,2024-09-03,2024-09-03,Fulfilled,530000,FALSE
2024-08-11,CUST_FORD,ORD_F004,2024-09-04,2024-09-04,Fulfilled,350000,FALSE
2024-08-11,CUST_TESLA,ORD_T005,2024-09-05,2024-09-05,Fulfilled,810000,FALSE
2024-08-12,CUST_HYUNDAI,ORD_H004,2024-09-06,2024-09-06,Fulfilled,300000,FALSE
2024-08-12,CUST_BMW,ORD_B004,2024-09-07,2024-09-07,Fulfilled,390000,FALSE
2024-08-13,CUST_VW,ORD_V004,2024-09-08,2024-09-08,Fulfilled,460000,FALSE
2024-08-13,CUST_GM,ORD_G005,2024-09-09,2024-09-09,Fulfilled,540000,FALSE
2024-08-14,CUST_FORD,ORD_F005,2024-09-10,2024-09-10,Fulfilled,370000,FALSE
2024-08-14,CUST_TESLA,ORD_T006,2024-09-11,2024-09-11,Fulfilled,860000,FALSE
2024-08-15,CUST_HYUNDAI,ORD_H005,2024-09-12,2024-09-12,Fulfilled,320000,FALSE
2024-08-15,CUST_BMW,ORD_B005,2024-09-13,2024-09-13,Fulfilled,400000,FALSE
2024-08-16,CUST_VW,ORD_V005,2024-09-14,2024-09-14,Fulfilled,490000,FALSE
2024-08-16,CUST_GM,ORD_G006,2024-09-15,2024-09-15,Fulfilled,560000,FALSE
2024-08-17,CUST_FORD,ORD_F006,2024-09-16,2024-09-16,Fulfilled,330000,FALSE
2024-08-17,CUST_TESLA,ORD_T007,2024-09-17,2024-09-17,Fulfilled,750000,FALSE
2024-08-18,CUST_HYUNDAI,ORD_H006,2024-09-18,2024-09-18,Fulfilled,310000,FALSE
2024-08-18,CUST_BMW,ORD_B006,2024-09-19,2024-09-19,Fulfilled,430000,FALSE
2024-08-19,CUST_VW,ORD_V006,2024-09-20,2024-09-20,Fulfilled,480000,FALSE
2024-08-19,CUST_GM,ORD_G007,2024-09-21,2024-09-21,Fulfilled,520000,FALSE
2024-08-20,CUST_FORD,ORD_F007,2024-09-22,2024-09-22,Fulfilled,340000,FALSE
2024-08-20,CUST_TESLA,ORD_T008,2024-09-23,2024-09-23,Fulfilled,820000,FALSE
2024-08-21,CUST_HYUNDAI,ORD_H007,2024-09-24,2024-09-24,Fulfilled,290000,FALSE
2024-08-21,CUST_BMW,ORD_B007,2024-09-25,2024-09-25,Fulfilled,410000,FALSE
2024-08-22,CUST_VW,ORD_V007,2024-09-26,2024-09-26,Fulfilled,470000,FALSE
2024-08-22,CUST_GM,ORD_G008,2024-09-27,2024-09-27,Fulfilled,530000,FALSE
2024-08-23,CUST_FORD,ORD_F008,2024-09-28,2024-09-28,Fulfilled,350000,FALSE
2024-08-23,CUST_TESLA,ORD_T009,2024-09-29,2024-09-29,Fulfilled,880000,FALSE
2024-08-24,CUST_HYUNDAI,ORD_H008,2024-09-30,2024-09-30,Fulfilled,300000,FALSE
2024-08-24,CUST_BMW,ORD_B008,2024-10-01,2024-10-01,Fulfilled,420000,FALSE
2024-08-25,CUST_VW,ORD_V008,2024-10-02,2024-10-02,Fulfilled,460000,FALSE
2024-08-25,CUST_GM,ORD_G009,2024-10-03,2024-10-03,Fulfilled,540000,FALSE
2024-08-26,CUST_FORD,ORD_F009,2024-10-04,2024-10-04,Fulfilled,360000,FALSE
2024-08-26,CUST_TESLA,ORD_T010,2024-10-05,2024-10-05,Fulfilled,790000,FALSE
2024-08-27,CUST_HYUNDAI,ORD_H009,2024-10-06,2024-10-06,Fulfilled,310000,FALSE
2024-08-27,CUST_BMW,ORD_B009,2024-10-07,2024-10-07,Fulfilled,440000,FALSE
2024-08-28,CUST_VW,ORD_V009,2024-10-08,2024-10-08,Fulfilled,480000,FALSE
2024-08-28,CUST_GM,ORD_G010,2024-10-09,2024-10-09,Fulfilled,520000,FALSE
2024-08-29,CUST_FORD,ORD_F010,2024-10-10,2024-10-10,Fulfilled,340000,FALSE
2024-08-29,CUST_TESLA,ORD_T011,2024-10-11,2024-10-11,Fulfilled,850000,FALSE
2024-08-30,CUST_HYUNDAI,ORD_H010,2024-10-12,2024-10-12,Fulfilled,320000,FALSE
2024-08-30,CUST_BMW,ORD_B010,2024-10-13,2024-10-13,Fulfilled,430000,FALSE
2024-08-31,CUST_VW,ORD_V010,2024-10-14,2024-10-14,Fulfilled,490000,FALSE
2024-08-31,CUST_GM,ORD_G011,2024-10-15,2024-10-15,Fulfilled,560000,FALSE
2024-09-01,CUST_FORD,ORD_F011,2024-10-16,2024-10-16,Fulfilled,350000,FALSE
2024-09-01,CUST_TESLA,ORD_T012,2024-10-17,2024-10-17,Fulfilled,820000,FALSE
2024-09-02,CUST_HYUNDAI,ORD_H011,2024-10-18,2024-10-18,Fulfilled,300000,FALSE
2024-09-02,CUST_BMW,ORD_B011,2024-10-19,2024-10-19,Fulfilled,420000,FALSE
2024-09-03,CUST_VW,ORD_V011,2024-10-20,2024-10-20,Fulfilled,470000,FALSE
2024-09-03,CUST_GM,ORD_G012,2024-10-21,2024-10-21,Fulfilled,530000,FALSE
2024-09-04,CUST_FORD,ORD_F012,2024-10-22,2024-10-22,Fulfilled,360000,FALSE
2024-09-04,CUST_TESLA,ORD_T013,2024-10-23,2024-10-23,Fulfilled,780000,FALSE
2024-09-05,CUST_HYUNDAI,ORD_H012,2024-10-24,2024-10-24,Fulfilled,310000,FALSE
2024-09-05,CUST_BMW,ORD_B012,2024-10-25,2024-10-25,Fulfilled,410000,FALSE
2024-09-06,CUST_VW,ORD_V012,2024-10-26,2024-10-26,Fulfilled,480000,FALSE
2024-09-06,CUST_GM,ORD_G013,2024-10-27,2024-10-27,Fulfilled,540000,FALSE
2024-09-07,CUST_FORD,ORD_F013,2024-10-28,2024-10-28,Fulfilled,340000,FALSE
2024-09-07,CUST_TESLA,ORD_T014,2024-10-29,2024-10-29,Fulfilled,860000,FALSE
2024-09-08,CUST_HYUNDAI,ORD_H013,2024-10-30,2024-10-30,Fulfilled,320000,FALSE
2024-09-08,CUST_BMW,ORD_B013,2024-10-31,2024-10-31,Fulfilled,430000,FALSE
2024-09-09,CUST_VW,ORD_V013,2024-11-01,2024-11-01,Fulfilled,490000,FALSE
2024-09-09,CUST_GM,ORD_G014,2024-11-02,2024-11-02,Fulfilled,520000,FALSE
2024-09-10,CUST_FORD,ORD_F014,2024-11-03,2024-11-03,Fulfilled,350000,FALSE
2024-09-10,CUST_TESLA,ORD_T015,2024-11-04,2024-11-04,Fulfilled,840000,FALSE
2024-09-11,CUST_HYUNDAI,ORD_H014,2024-11-05,2024-11-05,Fulfilled,300000,FALSE
2024-09-11,CUST_BMW,ORD_B014,2024-11-06,2024-11-06,Fulfilled,420000,FALSE
2024-09-12,CUST_VW,ORD_V014,2024-11-07,2024-11-07,Fulfilled,470000,FALSE
2024-09-12,CUST_GM,ORD_G015,2024-11-08,2024-11-08,Fulfilled,530000,FALSE
2024-09-13,CUST_FORD,ORD_F015,2024-11-09,2024-11-09,Fulfilled,360000,FALSE
2024-09-13,CUST_TESLA,ORD_T016,2024-11-10,2024-11-10,Fulfilled,790000,FALSE
2024-09-14,CUST_HYUNDAI,ORD_H015,2024-11-11,2024-11-11,Fulfilled,310000,FALSE
2024-09-14,CUST_BMW,ORD_B015,2024-11-12,2024-11-12,Fulfilled,440000,FALSE
2024-09-15,CUST_VW,ORD_V015,2024-11-13,2024-11-13,Fulfilled,480000,FALSE
2024-09-15,CUST_GM,ORD_G016,2024-11-14,2024-11-14,Fulfilled,520000,FALSE
2024-09-16,CUST_FORD,ORD_F016,2024-11-15,2024-11-15,Fulfilled,340000,FALSE
2024-09-16,CUST_TESLA,ORD_T017,2024-11-16,2024-11-16,Fulfilled,810000,FALSE
2024-09-17,CUST_HYUNDAI,ORD_H016,2024-11-17,2024-11-17,Fulfilled,320000,FALSE
2024-09-17,CUST_BMW,ORD_B016,2024-11-18,2024-11-18,Fulfilled,430000,FALSE
2024-09-18,CUST_VW,ORD_V016,2024-11-19,2024-11-19,Fulfilled,490000,FALSE
2024-09-18,CUST_GM,ORD_G017,2024-11-20,2024-11-20,Fulfilled,560000,FALSE
2024-09-19,CUST_FORD,ORD_F017,2024-11-21,2024-11-21,Fulfilled,350000,FALSE
2024-09-19,CUST_TESLA,ORD_T018,2024-11-22,2024-11-22,Fulfilled,830000,FALSE
2024-09-20,CUST_HYUNDAI,ORD_H017,2024-11-23,2024-11-23,Fulfilled,300000,FALSE
2024-09-20,CUST_BMW,ORD_B017,2024-11-24,2024-11-24,Fulfilled,420000,FALSE
2024-09-21,CUST_VW,ORD_V017,2024-11-25,2024-11-25,Fulfilled,470000,FALSE
2024-09-21,CUST_GM,ORD_G018,2024-11-26,2024-11-26,Fulfilled,530000,FALSE
2024-09-22,CUST_FORD,ORD_F018,2024-11-27,2024-11-27,Fulfilled,360000,FALSE
2024-09-22,CUST_TESLA,ORD_T019,2024-11-28,2024-11-28,Fulfilled,780000,FALSE
2024-09-23,CUST_HYUNDAI,ORD_H018,2024-11-29,2024-11-29,Fulfilled,310000,FALSE
2024-09-23,CUST_BMW,ORD_B018,2024-11-30,2024-11-30,Fulfilled,410000,FALSE
2024-09-24,CUST_VW,ORD_V018,2024-12-01,2024-12-01,Fulfilled,480000,FALSE
2024-09-24,CUST_GM,ORD_G019,2024-12-02,2024-12-02,Fulfilled,540000,FALSE
2024-09-25,CUST_FORD,ORD_F019,2024-12-03,2024-12-03,Fulfilled,340000,FALSE
2024-09-25,CUST_TESLA,ORD_T020,2024-12-04,2024-12-04,Fulfilled,860000,FALSE
2024-09-26,CUST_HYUNDAI,ORD_H019,2024-10-10,2024-10-10,Fulfilled,320000,FALSE
2024-09-26,CUST_BMW,ORD_B019,2024-10-11,2024-10-11,Fulfilled,430000,FALSE
2024-09-27,CUST_VW,ORD_V019,2024-10-12,2024-10-12,Fulfilled,490000,FALSE
2024-09-27,CUST_GM,ORD_G020,2024-10-13,2024-10-13,Fulfilled,520000,FALSE
2024-09-28,CUST_FORD,ORD_F020,2024-10-14,2024-10-14,Fulfilled,350000,FALSE
2024-09-28,CUST_TESLA,ORD_T021,2024-10-15,2024-10-28,Delayed,840000,TRUE
2024-09-29,CUST_HYUNDAI,ORD_H020,2024-10-16,2024-10-30,Delayed,300000,TRUE
2024-09-29,CUST_BMW,ORD_B020,2024-10-17,2024-10-31,Delayed,420000,TRUE
2024-09-30,CUST_VW,ORD_V020,2024-10-18,2024-11-02,Delayed,470000,TRUE
2024-09-30,CUST_GM,ORD_G021,2024-10-19,2024-11-03,Delayed,530000,TRUE
2024-10-01,CUST_FORD,ORD_F021,2024-10-20,2024-11-05,Delayed,360000,TRUE
2024-10-01,CUST_TESLA,ORD_T022,2024-10-21,2024-11-06,Delayed,780000,TRUE
2024-10-02,CUST_HYUNDAI,ORD_H021,2024-10-22,2024-11-08,Delayed,310000,TRUE
2024-10-02,CUST_BMW,ORD_B021,2024-10-23,2024-11-09,Delayed,410000,TRUE
2024-10-03,CUST_VW,ORD_V021,2024-10-24,2024-11-10,Delayed,480000,TRUE
2024-10-03,CUST_GM,ORD_G022,2024-10-25,2024-11-12,Delayed,540000,TRUE
2024-10-04,CUST_FORD,ORD_F022,2024-10-26,2024-11-14,Delayed,340000,TRUE
2024-10-04,CUST_TESLA,ORD_T023,2024-10-27,2024-11-15,Delayed,860000,TRUE
2024-10-05,CUST_HYUNDAI,ORD_H022,2024-10-28,2024-11-18,Delayed,320000,TRUE
2024-10-05,CUST_BMW,ORD_B022,2024-10-29,2024-11-20,Delayed,430000,TRUE
2024-10-06,CUST_VW,ORD_V022,2024-10-30,2024-11-22,Delayed,490000,TRUE
2024-10-06,CUST_GM,ORD_G023,2024-10-31,2024-11-24,Delayed,520000,TRUE
2024-10-07,CUST_FORD,ORD_F023,2024-11-01,2024-11-26,Delayed,350000,TRUE
2024-10-07,CUST_TESLA,ORD_T024,2024-11-02,2024-11-28,Delayed,840000,TRUE
2024-10-08,CUST_HYUNDAI,ORD_H023,2024-11-03,2024-11-30,Delayed,300000,TRUE
