,input,intent,result
0,추가상품이 있는데 함께 배송될까요?,com_how_ord,cs_how_inst
1,주문더하기는 어떻게 합니까,com_how_ord,com_how_ord
2,주문내역 소포장배송요청,com_how_ord,cs_how_inst
3,선물포장 추가해줘,com_how_ord,com_how_ord
4,선물포장 요청을 못했는데 지금 요청 가능할까요,com_how_ord,com_how_ord
5,비회원은 어떻게 주문하나요,com_how_ord,com_how_ord
6,전화로 주문할 수 있나요,com_how_ord,com_how_ord
7,배송전 추가주문하고싶습니다,com_how_ord,com_how_ord
8,선물포장 가능한지 확인해줘,com_how_ord,com_how_ord
9,선물을 보냈는데 알람 메세지를 받지 못했다고 해요,com_how_ord,com_how_ord
10,회원 아니면 주문이 안되나요,com_how_ord,com_how_ord
11,최근 주문에 선물포장 해줄래,com_how_ord,com_how_ord
12,주문방법 알려주세요,com_how_ord,com_how_ord
13,주문제품 선물포장 가능한가요,com_how_ord,com_how_ord
14,대량구매 문의,com_how_ord,com_how_ord
15,대량구매 시 비용 안내,com_how_ord,cs_qry_ord
16,선물용으로 구입하는 거니까 예쁘게 포장해서 쇼핑백과 함께 보내주세요,com_how_ord,com_how_ord
17,주문방법을 몰라요,com_how_ord,com_how_ord
18,"선물용이라 상자, 증정품 꼭 부탁드립니다",com_how_ord,com_how_ord
19,선물 문자 확인이 안됐다고 해요,com_how_ord,com_how_ord
20,혹시 선물상자만 따로 주문가능한가요,com_how_ord,com_how_ord
21,선물 sms 못 받았다던데요,com_how_ord,com_how_ord
22,롯데마트 추가주문,com_how_ord,cs_qry_ord
23,배달하는 물품에 추가 할 수 있나요,com_how_ord,cs_how_inst
24,마트 추가주문,com_how_ord,cs_how_smp
25,배송 더하기 신청,com_how_ord,faq_dsat_exch
26,추가 합배송 원합니다,com_how_ord,cs_qry_dlv
27,추가주문이 안되네요,com_how_ord,faq_dsat_gen
28,추가주문 하려는데 왜 안되나요,com_how_ord,com_how_ord
29,가입 안하고 주문할 수 있는 방법이 있나요,com_how_ord,com_how_ord
30,가입 안하면 상품 못 사요,com_how_ord,faq_dsat_dlv_nrcv
31,선물 포장과 봉투백 동봉 되나요,com_how_ord,com_how_ord
32,전화 주문 가능한가요,com_how_ord,com_how_ord
33,전화로 주문하고 싶어,com_how_ord,com_how_ord
34,구매하고 싶은데 어떻게 하면 되나요,com_how_ord,cs_regchg_gen
35,이미 결제했는데 다른 상품을 추가하고 싶어요,com_how_ord,com_how_ord
36,지금 다른 물건들 추가할 수 있나요,com_how_ord,com_how_ord
37,장보기 상품추가,com_how_ord,cs_qry_ord
38,선물 어떻게 재전송해,com_how_ord,faq_how_dlv
39,선물 재전송 어떻게 하나요,com_how_ord,faq_how_dlv
40,내일 주문건이 있어서 추가 주문하려고 하는데요,com_how_ord,com_how_ord
41,선물수락은 어디서 어떻게 하는걸까요,com_how_ord,faq_how_dlv
42,제가 저한테 선물했는데 선물 수락은 어디에서 하나요,com_how_ord,com_how_ord
43,해당 제품 쇼핑백 제공 말고도 선물포장이 되는지 궁금합니다,com_how_ord,cs_how_inst
44,상품 포장해주세요~ 안되면 상품봉투 부탁드립니다.,com_how_ord,com_how_ord
45,선물하기 수락기한,com_how_ord,com_how_ord
46,롯데마트몰 배송주문했는데 추가로 배송원해요 어떻개 해야할까요,com_how_ord,cs_how_inst
47,주문 어떻게 하는지 알려주세요,com_how_ord,com_how_ord
48,이 상품 구매하고 싶은데 어떻게 하는지 모르겠어요,com_how_ord,com_how_ord
49,상품 구매할 수 있게 도와주세요,com_how_ord,cs_how_inst
50,제 카드가 취소된 게 맞나요,cs_cncl,cs_cncl
