input,intent_name
비회원으로 구매한상품 조회 어떻게 하나요,com_how_ord
선물박스 신청할 수 있나요,com_how_ord
선물상자 따로 주문 되나요,com_how_ord
주문방법을 몰라요,com_how_ord
결제방법문의,com_how_ord
롯데마트서 방금 구매했는데 추가로 주문할수 있나요,com_how_ord
추가 주문할 수 있나요,com_how_ord
대량구매 견적받고 싶어요,com_how_ord
포장으로 받을 수 있나요,com_how_ord
상품 더담기,com_how_ord
비회원 주문하는 법 알고싶습니다,com_how_ord
선물하기로 상품 보냈는데 문자 못받았대요,com_how_ord
선물하기로 보낸 상품 문자 수신이 안되었다고 합니다,com_how_ord
비회원 구매하는법,com_how_ord
포장도되나요,com_how_ord
주문상품 추가 하기 가능한가요,com_how_ord
선물포장 및 더스트백 동봉 부탁드려요,com_how_ord
대량구매시에는 어떻게 신청하나요,com_how_ord
선물하기 문자 못받았다는데 다시 전송할수 있나요,com_how_ord
내 주문에 선물포장 적용됐나요,com_how_ord
전화로 주문 가능한가요,com_how_ord
전화 주문해줘,com_how_ord
재입고 상품 주문보여줘,com_how_ord
주문 어떻게 하는거야,com_how_ord
비회원 주문은 어떻게 하죠,com_how_ord
선물상자만 따로 받을수도 있나요,com_how_ord
선물포장 가능한지 확인해줘,com_how_ord
추가로 주문할게 있는데요,com_how_ord
비회원 주문하기는 어디서 하나요,com_how_ord
비회원 주문은 어떻게 해,com_how_ord
선물포장 신청했는데 접수됐나요,com_how_ord
선물하기할 때 받는 사람이 꼭 수락해야 발송되나요,com_how_ord
선물하기면 자동으로 선물포장해주는 건가요,com_how_ord
예약상품 주문,com_how_ord
예약 상품 주문은 어떻게 하나요,com_how_ord
예약상품 주문 할래,com_how_ord
아직 배송시간 있는데 추가배송 안되나요,com_how_ord
선물 메시지 온게 없대요,com_how_ord
주문 방법 알려주세요,com_how_ord
지금 상품추가는 안될까요,com_how_ord
주문할 때 선물포장 되나요,com_how_ord
주문상품 받기전인데 추가주문이 가능한지요 가능하면 방법을 자세히 알려주시면 감사하겠습니다,com_how_ord
비회원 주문하는 방법 문의드릴 수 있을까요?,com_how_ord
추가 주문 하는 방법,com_how_ord
추가 주문은 어떻게 하나요,com_how_ord
다시 주문하지 않고 이미 주문한 것에 상품 더하기는 어떻게 하나요?,com_how_ord
주문할 때 선물포장 되나요,com_how_ord
주문더하기 마감시간,com_how_ord
개별 포장 박스와 쇼핑백도 부탁 드립니다.,com_how_ord
주문한 닥스모자 포장가능한가요?,com_how_ord
취소 사유를 알고 싶어요,cs_cncl
발송불가하다고 연락이 왔는데 제가 취소해야하나요,cs_cncl
배송불가가 무슨뜻이죠,cs_cncl
주문불가 연락이왔는데 어떻게 하면 되나요,cs_cncl
취소 누가했나요,cs_cncl
왜 주문 한게 취소가 된거죠,cs_cncl
취소 왜 해요,cs_cncl
취소 누가했죠,cs_cncl
주문후 자동취소가 됩니다,cs_cncl
발송불가능상태가 뭐야,cs_cncl
취소된 사유가 뭐죠,cs_cncl
취소된 이유가 뭡니까,cs_cncl
취소된 이유좀 알려주세요,cs_cncl
왜 마음대로 취소하나요,cs_cncl
취소안했는데요,cs_cncl
주문취소 이유,cs_cncl
주문취소 되었습니다 사유여쭙니다,cs_cncl
왜 주문이 취소가 된건가요,cs_cncl
왜 맘대로 주문을 취소하나요,cs_cncl
왜 갑자기 취소 된건가요,cs_cncl
왜 제 주문이 취소가 된거죠,cs_cncl
카톡으로 주문 상품 발송 불가 안내를 받았는데 취소된다는 안내인가요,cs_cncl
주문 취소가 갑자기 되었어요,cs_cncl
배송불가상품이라고 카톡왔는데,cs_cncl
왜 자꾸 취소되는거죠,cs_cncl
업체에서 취소해 달라는데 어떻게 해야하나요,cs_cncl
카드 정상취소된게 맞나요,cs_cncl
카드 취소 확인 좀 해주세요,cs_cncl
카드 취소 확인이 안됩니다,cs_cncl
카드 취소전표가 안뜨는게 어떻게된거죠,cs_cncl
카드 취소내역에 없어요,cs_cncl
카드 취소는 얼마나 걸려요,cs_cncl
카드 취소된 거 맞아요,cs_cncl
카드 취소문자는 못 받았어요,cs_cncl
취소 완료면 취소 된 건가요,cs_cncl
체크카드 취소된 거 맞나요,cs_cncl
취소 반영이 카드사에 아직 안되었어요,cs_cncl
신용카드는 취소 기한이 어떻게 돼,cs_cncl
카드 취소가 아직인데 확인 좀 부탁드립니다,cs_cncl
