timestamp,page,user,click
2020-07-07 00:00:00,4,9,9
2020-07-07 00:01:00,7,8,8
2020-07-07 00:02:00,4,9,9
2020-07-07 00:03:00,6,11,11
2020-07-07 00:04:00,4,9,9
2020-07-07 00:05:00,5,9,9
2020-07-07 00:06:00,6,14,15
2020-07-07 00:07:00,7,18,18
2020-07-07 00:08:00,5,8,8
2020-07-07 00:09:00,2,7,7
2020-07-07 00:10:00,5,8,8
2020-07-07 00:11:00,4,9,9
2020-07-07 00:12:00,3,5,5
2020-07-07 00:13:00,6,10,11
2020-07-07 00:14:00,7,14,14
2020-07-07 00:15:00,4,14,15
2020-07-07 00:16:00,6,14,15
2020-07-07 00:17:00,5,12,13
2020-07-07 00:18:00,6,10,10
2020-07-07 00:19:00,7,8,8
2020-07-07 00:20:00,5,10,10
2020-07-07 00:21:00,3,8,8
2020-07-07 00:22:00,4,7,7
2020-07-07 00:23:00,7,9,9
2020-07-07 00:24:00,6,10,10
2020-07-07 00:25:00,3,4,4
2020-07-07 00:26:00,6,13,13
2020-07-07 00:27:00,2,11,13
2020-07-07 00:28:00,5,7,7
2020-07-07 00:29:00,8,12,12
2020-07-07 00:30:00,5,13,13
2020-07-07 00:31:00,6,12,12
2020-07-07 00:32:00,4,6,6
2020-07-07 00:33:00,5,16,16
2020-07-07 00:34:00,4,6,6
2020-07-07 00:35:00,6,9,9
2020-07-07 00:36:00,6,8,8
2020-07-07 00:37:00,7,11,11
2020-07-07 00:38:00,6,11,11
2020-07-07 00:39:00,4,9,10
2020-07-07 00:40:00,6,8,8
2020-07-07 00:41:00,5,9,9
2020-07-07 00:42:00,5,10,10
2020-07-07 00:43:00,7,13,13
2020-07-07 00:44:00,4,9,9
2020-07-07 00:45:00,6,12,13
2020-07-07 00:46:00,6,8,8
2020-07-07 00:47:00,7,12,14
2020-07-07 00:48:00,5,7,7
2020-07-07 00:49:00,5,9,10
2020-07-07 00:50:00,6,21,22
2020-07-07 00:51:00,5,7,7
2020-07-07 00:52:00,7,12,14
2020-07-07 00:53:00,6,10,11
2020-07-07 00:54:00,5,10,11
2020-07-07 00:55:00,4,13,13
2020-07-07 00:56:00,5,8,8
2020-07-07 00:57:00,11,15,15
2020-07-07 00:58:00,2,4,4
2020-07-07 00:59:00,3,3,3
2020-07-07 01:00:00,7,14,14
2020-07-07 01:01:00,7,12,12
2020-07-07 01:02:00,4,8,8
2020-07-07 01:03:00,5,7,7
2020-07-07 01:04:00,7,16,17
2020-07-07 01:05:00,8,13,13
2020-07-07 01:06:00,3,6,6
2020-07-07 01:07:00,4,6,6
2020-07-07 01:08:00,7,15,15
2020-07-07 01:09:00,4,8,8
2020-07-07 01:10:00,6,10,10
2020-07-07 01:11:00,7,11,11
2020-07-07 01:12:00,3,5,5
2020-07-07 01:13:00,6,12,12
