날짜,카테고리,제품,가격,수량,매출액,고객_세그먼트,마케팅_캠페인,마케팅_채널,고객_ID,성별,연령대
2023-04-13,전자제품,가전제품,218348.84931909948,1,218348.84931909948,신규 고객,,이메일,2685,남성,20대
2023-12-10,전자제품,노트북,321191.7486699132,3,963575.2460097396,신규 고객,,온라인 광고,9666,남성,20대
2024-04-20,전자제품,태블릿,381572.41777791193,1,381572.41777791193,신규 고객,,오프라인 광고,7235,남성,40대
2024-03-30,전자제품,가전제품,588954.6893146326,4,2355818.7572585302,일반 고객,,소셜 미디어,4843,여성,50대 이상
2024-02-06,생활용품,욕실용품,49204.311296996486,5,246021.55648498243,일반 고객,제휴 마케팅,제휴 마케팅,7863,남성,20대
2023-02-22,생활용품,세제,47098.44657131295,1,47098.44657131295,신규 고객,,온라인 광고,9006,남성,10대
2024-04-16,의류,아우터,34706.23114058149,4,138824.92456232596,VIP 고객,,온라인 광고,4104,여성,50대 이상
2023-04-09,전자제품,태블릿,1042319.4803740465,4,4169277.921496186,충성 고객,,소셜 미디어,1502,남성,30대
2024-01-28,생활용품,화장지,33079.68726814782,1,33079.68726814782,VIP 고객,,이메일,4157,여성,20대
2024-07-10,식품,간식,7564.5422057933465,4,30258.168823173386,충성 고객,,소셜 미디어,6592,남성,10대
2024-01-20,식품,육류,10614.773657827061,1,10614.773657827061,신규 고객,,이메일,1663,남성,30대
2024-01-09,식품,유제품,27660.966905180765,3,82982.90071554229,충성 고객,,제휴 마케팅,4696,여성,10대
2023-04-23,생활용품,화장지,11145.649899077722,3,33436.94969723317,일반 고객,,오프라인 광고,4510,남성,30대
2024-02-05,화장품,헤어케어,54663.006697715915,9,491967.0602794432,충성 고객,제휴 마케팅,오프라인 광고,5282,여성,50대 이상
2024-02-07,생활용품,주방용품,22228.63358210238,5,111143.1679105119,신규 고객,제휴 마케팅,오프라인 광고,9120,남성,20대
