index,Date,Status,Fulfilment,ship-service-level,Style,SKU,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code,promotion-ids,Gender,Age Group,Month,Day,Weekday
1,2024-01-01,Shipped,Amazon,Expedited,유기농 바나나,FR-BNN-001,과일,500g,Delivered,2,5990,강남구,서울,6000,FRUITPROMO5,F,30대,1,1,Monday
2,2024-01-01,Shipped,Amazon,Standard,국산 방울토마토,VG-TOM-002,채소,200g,Delivered,1,3500,송파구,서울,5500,NO_PROMO,M,40대,1,1,Monday
3,2024-01-01,Shipped,Amazon,Expedited,순두부,DP-TFU-001,유제품,300g,Delivered,3,3000,분당구,경기도,13500,FRESH10OFF,F,50대,1,1,Monday
4,2024-01-01,Shipped,Coupang,Expedited,아보카도,FR-AVC-001,과일,3개입,In Transit,1,6700,부천시,경기도,14700,FRUITPROMO5,M,30대,1,1,Monday
5,2024-01-01,Shipped,Amazon,Standard,유기농 당근,VG-CRT-001,채소,500g,Delivered,2,4200,일산동구,경기도,10300,VEGGIESALE,F,50대,1,1,Monday
6,2024-01-01,Shipped,Market Kurly,Expedited,유기농 시금치,VG-SPN-001,채소,300g,Delivered,3,4900,수원시,경기도,16400,VEGGIESALE,M,40대,1,1,Monday
7,2024-01-01,Shipped,SSG.com,Standard,신선 우유,DP-MLK-001,유제품,1L,Delivered,1,2900,용산구,서울,4000,DAIRYPROMO,F,30대,1,1,Monday
8,2024-01-02,Shipped,Amazon,Priority,태국 망고,FR-MNG-001,과일,2개입,Delivered,2,7200,성동구,서울,4800,SUMMERFRUIT,M,50대,1,2,Tuesday
9,2024-01-02,Shipped,Coupang,Standard,브로콜리,VG-BRC-001,채소,300g,Delivered,1,3900,마포구,서울,4100,NO_PROMO,F,40대,1,2,Tuesday
10,2024-01-02,Shipped,Market Kurly,Expedited,그릭 요거트,DP-YGT-001,유제품,500g,In Transit,3,7800,중구,서울,4500,DAIRYPROMO,M,30대,1,2,Tuesday
11,2024-01-02,Shipped,SSG.com,Standard,골드 키위,FR-KWI-001,과일,6개입,Delivered,1,8900,종로구,서울,3000,FRUITPROMO5,F,20대,1,2,Tuesday
12,2024-01-02,Shipped,Amazon,Expedited,유기농 오이,VG-CCB-001,채소,3개입,Delivered,2,4800,은평구,서울,3400,VEGGIESALE,M,40대,1,2,Tuesday
13,2024-01-02,Shipped,Coupang,Standard,체다 치즈,DP-CHS-001,유제품,200g,Delivered,1,7900,동대문구,서울,2500,DAIRYPROMO,F,30대,1,2,Tuesday
14,2024-01-03,Shipped,Market Kurly,Expedited,딸기,FR-STB-001,과일,400g,Delivered,3,12900,서대문구,서울,3600,SUMMERFRUIT,M,50대,1,3,Wednesday
15,2024-01-03,Shipped,SSG.com,Standard,양배추,VG-CBG-001,채소,1통,Delivered,1,3900,강북구,서울,1000,NO_PROMO,F,60대,1,3,Wednesday
16,2024-01-03,Shipped,Amazon,Priority,무가당 요구르트,DP-YGT-002,유제품,4개입,In Transit,2,6900,도봉구,서울,1300,DAIRYPROMO,M,30대,1,3,Wednesday
17,2024-01-03,Shipped,Coupang,Standard,파인애플,FR-PNP-001,과일,1개,Delivered,1,6900,노원구,서울,1300,FRUITPROMO5,F,40대,1,3,Wednesday
18,2024-01-03,Shipped,Market Kurly,Expedited,청경채,VG-BCH-001,채소,300g,Delivered,3,4900,중랑구,서울,2100,VEGGIESALE,M,50대,1,3,Wednesday
19,2024-01-03,Shipped,SSG.com,Standard,저지방 우유,DP-MLK-002,유제품,1L,Delivered,1,3500,구로구,서울,8200,DAIRYPROMO,F,30대,1,3,Wednesday
20,2024-01-03,Shipped,Amazon,Expedited,블루베리,FR-BBR-001,과일,200g,Delivered,2,9800,금천구,서울,8500,SUMMERFRUIT,M,40대,1,3,Wednesday
21,2024-01-04,Shipped,Coupang,Standard,방울토마토,VG-TOM-003,채소,300g,In Transit,1,4800,동작구,서울,7200,VEGGIESALE,F,30대,1,4,Thursday
22,2024-01-04,Shipped,Market Kurly,Priority,모짜렐라 치즈,DP-CHS-002,유제품,250g,Delivered,3,8500,관악구,서울,8700,DAIRYPROMO,M,20대,1,4,Thursday
23,2024-01-04,Shipped,SSG.com,Standard,사과,FR-APL-001,과일,1kg,Delivered,1,6500,광진구,서울,5000,FRUITPROMO5,F,50대,1,4,Thursday
