,intent_name,input,result
0,배송비 이중청구 관련,배송비 두번 청구되는건 아닌거 같은데 확인해주세요,배송비 이중청구 관련
1,배송비 이중청구 관련,배송비 두번 나갔어요,배송비 이중청구 관련
2,배송비 이중청구 관련,배송비 두번 나갔는데 이거 환불해주시나요,배송비 이중청구 관련
3,배송비 이중청구 관련,배송비 두번 나간 이유가 뭐에요,배송비 이중청구 관련
4,배송비 이중청구 관련,배송비 두번 가져간 거 같은데 확인해주세요,배송비 이중청구 관련
5,배송비 이중청구 관련,배송비 동봉했는데 또 배송비가 나갔어요,배송비 이중청구 관련
6,배송비 이중청구 관련,반품한 상품에 대한 배송비가 중복으로 청구된 것 같아서 문의드립니다,배송비 이중청구 관련
7,배송비 이중청구 관련,"반품한 상품에 대한 배송비가 두 번 청구된 것 같은데, 확인 부탁드립니다",배송비 이중청구 관련
8,배송비 이중청구 관련,반품하면 제가 배송비를 두번 내야 되나요,배송비 이중청구 관련
9,배송비 이중청구 관련,반품하려는데 배송비가 이중 청구되네요,배송비 이중청구 관련
10,배송비 이중청구 관련,반품하는데 배송비를 제가 두번 부담해야되나요,배송비 이중청구 관련
11,배송비 이중청구 관련,반품하는데 배송비가 두번 나갔어요 환불가능한가요,배송비 이중청구 관련
12,배송비 이중청구 관련,반품하는데 배송비 왜 두번 내요,배송비 이중청구 관련
13,배송비 이중청구 관련,반품신청했더니 배송비가 중복청구된 것 같아요,배송비 이중청구 관련
14,배송비 이중청구 관련,반품신청했더니 배송비가 중복으로 청구된 것 같아요,배송비 이중청구 관련
15,배송비 이중청구 관련,반품신청했더니 배송비 두번 청구된거같아요,배송비 이중청구 관련
16,배송비 이중청구 관련,반품비가 이중 청구 됐어요 어떻게 된거죠,배송비 이중청구 관련
17,배송비 이중청구 관련,반품비가 두번 청구된거 같아요,배송비 이중청구 관련
18,배송비 이중청구 관련,반품비가 두번 나갔어요 어찌된 일이죠,배송비 이중청구 관련
19,배송비 이중청구 관련,반품비 이중 청구된거 환불받을 수 있나요,배송비 이중청구 관련
20,배송비 이중청구 관련,반품비 이중 청구된거 맞는지 확인 좀 해주세요 환불 받을 수 있는지도요,배송비 이중청구 관련
21,배송비 이중청구 관련,반품비 이중 청구된거 같으니 확인 좀 부탁드려요,배송비 이중청구 관련
